id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,1,1,0.098603,0.098603,0.000000,0.000000,0.000000
1,1,640,360,2,1,0.095134,0.095134,0.000000,0.000000,0.000000
2,2,627,360,3,1,0.096029,0.096028,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.096648,0.096648,0.000000,0.000000,0.000000
4,4,640,360,1,1,0.097449,0.097448,0.000000,0.000000,0.000000
5,5,640,360,2,1,0.098105,0.098104,0.000000,0.000000,0.000000
6,6,640,360,3,1,0.098431,0.098430,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.084866,0.084866,0.000000,0.000000,0.000000
8,8,640,360,1,1,0.087249,0.087249,0.000000,0.000000,0.000000
9,9,640,360,2,1,0.112053,0.112052,0.000000,0.000000,0.000000
10,10,640,360,3,1,0.087238,0.087237,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.084788,0.084787,0.000000,0.000000,0.000000
12,12,640,360,1,1,0.108491,0.108490,0.000000,0.000000,0.000000
13,13,640,360,2,1,0.085585,0.085585,0.000000,0.000000,0.000000
14,14,640,360,3,1,0.108740,0.108740,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.109841,0.109841,0.000000,0.000000,0.000000
16,16,640,360,1,1,0.113144,0.113144,0.000000,0.000000,0.000000
17,17,640,360,2,1,0.112518,0.112517,0.000000,0.000000,0.000000
18,18,640,360,3,1,0.112678,0.112678,0.000000,0.000000,0.000000
